Y,ID
4.4,EILHYBW
5.3,EILHYBW
4.2,EILHYBW
4.0,EILHYBW
4.9,EILHYBW
4.4,EILHYBW
5.1,EILHYBW
4.3,EILHYBW
3.7,EILHYBW
3.6,EILHYBW
3.5,EILHYBW
5.1,EILHYBW
2.0,EILHYBW
5.1,EILHYBW
3.6,EILHYBW
4.3,EILHYBW
4.8,EILHYBW
4.5,EILHYBW
3.9,EILHYBW
3.7,EILHYBW
3.8,EILHYBW
4.1,EILHYBW
3.7,EILHYBW
4.3,EILHYBW
3.4,EILHYBW
3.3,EILHYBW
3.1,EILHYBW
4.0,EILHYBW
3.6,EILHYBW
4.2,EILHYBW
3.2,EILHYBW
3.8,EILHYBW
3.9,EILHYBW
3.4,EILHYBW
3.2,EILHYBW
3.4,EILHYBW
4.1,EILHYBW
3.7,EILHYBW
2.9,EILHYBW
5.0,ST2_W114
3.1,ST2_W114
2.8,ST2_W114
2.2,ST2_W114
3.6,ST2_W114
2.6,ST2_W114
3.6,ST2_W114
3.8,ST2_W114
3.6,ST2_W114
5.6,ST2_W114
3.4,ST2_W114
3.9,ST2_W114
3.3,ST2_W114
4.0,ST2_W114
2.9,ST2_W114
4.1,ST2_W114
3.5,ST2_W114
3.4,ST2_W114
3.6,ST2_W114
3.3,ST2_W114
3.7,ST2_W114
3.5,ST2_W114
3.4,ST2_W114
3.5,ST2_W114
3.2,ST2_W114
3.3,ST2_W114
3.9,ST2_W114
3.6,ST2_W114
2.1,ST2_W114
2.5,ST2_W114
3.4,ST2_W114
3.3,ST2_W114
3.0,ST2_W114
2.7,ST2_W114
4.6,ST2_W114
3.5,ST2_W114
3.9,ST2_W114
4.2,ST2_W114
3.8,ST2_W114
4.4,ST2_W114
4.1,ST2_W114
4.0,ST2_W114
4.4,ST2_W114
3.5,ST2_W114
2.7,ST2_W114
3.3,ST2_W114
3.4,ST2_W114
3.0,ST2_W114
4.2,ST2_W114
4.7,ST2_W114
3.4,ST2_W114
4.2,ST2_W114
2.6,ST2_W114
3.3,ST2_W114
4.3,ST2_W114
4.1,ST2_W114
4.5,ST2_W114
2.8,ST2_W114
4.0,ST2_W114
4.8,ST2_W114
2.9,ST2_W114
3.4,ST2_W114
3.6,ST2_W114
4.3,ST2_W114
3.8,ST2_W114
4.1,ST2_W114
3.6,ST2_W114
2.8,ST2_W114
3.2,ST2_W114
3.5,ST2_W114
2.6,ST2_W114
3.0,ST2_W114
3.5,ST2_W114
5.4,ST2_W114
3.7,ST2_W114
2.4,ST2_W114
2.9,ST2_W114
4.2,ST2_W114
2.8,ST2_W114
3.5,ST2_W114
4.0,ST2_W114
3.9,ST2_W114
3.0,ST2_W114
3.9,ST2_W114
3.7,ST2_W114
3.8,ST2_W114
